Date,ON,1W,1M,2M,3M,6M,9M,1Y,2Y,3Y,5Y,7Y,10Y,15Y
10/6/2025,0.042378098,0.042107859,0.041367522,0.040709124,0.039842078,0.03818819,0.036996993,0.035889932,0.033543165,0.033186402,0.033746768,0.034917908,0.036782329,0.039370955
10/3/2025,0.042575886,0.04236074,0.041657405,0.040752491,0.039907679,0.038174079,0.036892794,0.035714275,0.033239641,0.032813824,0.033336696,0.034482944,0.036311852,0.038889499
10/2/2025,0.04258085,0.042346314,0.041712193,0.04068587,0.039892026,0.038173444,0.036936115,0.035810733,0.0333917,0.032930763,0.033434786,0.034601333,0.036489458,0.039077429
10/1/2025,0.042986355,0.04272932,0.041879119,0.040796778,0.039836293,0.038145635,0.036864362,0.035650231,0.033167768,0.032661725,0.033131452,0.034310202,0.03621551,0.038859297
9/30/2025,0.041871207,0.041981389,0.041754711,0.040826135,0.04010243,0.038547217,0.037385212,0.036281349,0.033771905,0.03325091,0.033593187,0.034701572,0.036503245,0.039002253
9/29/2025,0.042175344,0.042181566,0.041793852,0.040947519,0.040196391,0.038697952,0.037568397,0.036482275,0.034019131,0.033521542,0.033889721,0.034957013,0.036723897,0.039159114
9/26/2025,0.042373172,0.042432626,0.042112863,0.041170926,0.04039414,0.038928507,0.037871794,0.036839245,0.03438305,0.033874987,0.03428829,0.035346885,0.037092797,0.039519995
9/25/2025,0.041871207,0.042172238,0.042165354,0.041224445,0.040497158,0.038938433,0.03779305,0.036689821,0.034170704,0.033637351,0.034027279,0.035122624,0.036942456,0.039437597
9/24/2025,0.041769836,0.04207689,0.042178421,0.041184418,0.040422529,0.038701049,0.037423802,0.036177607,0.033497666,0.03287816,0.033238451,0.034404113,0.036335671,0.039018977
9/23/2025,0.041972587,0.042154444,0.042067197,0.041146492,0.040360679,0.038673592,0.037361544,0.03615065,0.033411207,0.032810282,0.03321154,0.034410597,0.036372796,0.039090813
9/22/2025,0.041972587,0.042157723,0.042102883,0.041175762,0.040441314,0.038639159,0.037253876,0.035985302,0.033153237,0.032564602,0.033038798,0.03430249,0.036350184,0.039125353
9/19/2025,0.041967763,0.042135912,0.042095701,0.041182816,0.040492952,0.03863636,0.037229694,0.035950072,0.033133502,0.032542111,0.032978376,0.03419023,0.036186441,0.03889896
9/18/2025,0.044405633,0.043641418,0.042335195,0.041353332,0.040719647,0.038837544,0.037465356,0.036176951,0.033325457,0.032716233,0.033139733,0.03431725,0.036271503,0.038948193
9/17/2025,0.044507005,0.043634966,0.04193891,0.04126682,0.040610939,0.038709746,0.03709828,0.035736873,0.032642818,0.031915349,0.032213905,0.033324184,0.035218619,0.037855705
9/16/2025,0.045723524,0.044448524,0.042009139,0.041386798,0.040724467,0.038761877,0.037221158,0.035805359,0.032581356,0.031792139,0.03207048,0.033252087,0.035261212,0.038016057
9/15/2025,0.044811135,0.043912258,0.042191623,0.041403128,0.040730362,0.038791737,0.037312731,0.035966019,0.032788794,0.031980481,0.032219483,0.033329278,0.035304893,0.038027079
9/12/2025,0.044704285,0.043968741,0.042396751,0.04149146,0.040825012,0.038819835,0.03734063,0.036017338,0.032924336,0.032156205,0.032427373,0.033553579,0.035539397,0.038302258
9/11/2025,0.044507005,0.043724642,0.042391048,0.041418661,0.04079098,0.038677412,0.037150899,0.035752263,0.032466425,0.03163438,0.031890964,0.033042219,0.0350948,0.037948661
9/10/2025,0.044608385,0.043882829,0.042333891,0.041636207,0.040986691,0.038947147,0.037419082,0.035969443,0.032648626,0.031790966,0.032093316,0.033375964,0.035560841,0.038521346
9/9/2025,0.044608385,0.043907568,0.042342508,0.041656696,0.041035863,0.038937336,0.037360368,0.035930991,0.032520867,0.031668141,0.032001254,0.033301375,0.035482987,0.038459795
9/8/2025,0.044811135,0.044080281,0.042595512,0.041749868,0.041049962,0.038890332,0.037273723,0.035815335,0.032418893,0.031575136,0.031929785,0.033225321,0.035449988,0.038480791
9/5/2025,0.044704285,0.044098451,0.042728343,0.041799491,0.041138076,0.038995313,0.037350562,0.035857844,0.032387226,0.031507936,0.031921649,0.033361791,0.035750796,0.038982294
9/4/2025,0.044507005,0.043957764,0.042969993,0.042180157,0.041707215,0.039876585,0.03842455,0.037005492,0.033490539,0.032541125,0.032866181,0.034315336,0.036686052,0.039849676
9/3/2025,0.044507005,0.044055038,0.043061185,0.042433384,0.041854194,0.040141174,0.038739261,0.037318183,0.033975297,0.033074864,0.033495277,0.03496586,0.03732247,0.040470409
8/29/2025,0.043992167,0.04383484,0.04332049,0.042656487,0.042076976,0.040347789,0.038889052,0.037497393,0.033979125,0.033046187,0.033462164,0.034910957,0.037246044,0.040354031
8/28/2025,0.044202878,0.043957955,0.043418668,0.042713108,0.042179466,0.040453146,0.038964142,0.037557119,0.033978477,0.03299903,0.033377279,0.034836115,0.037173138,0.040205131
8/27/2025,0.044405633,0.044194707,0.043559508,0.042866454,0.042278687,0.040499098,0.038992937,0.03752676,0.034060934,0.033204864,0.033743442,0.035324218,0.037734369,0.040774725
8/26/2025,0.044304251,0.044162999,0.043660832,0.043032449,0.042373009,0.040628673,0.039119343,0.037727792,0.034221633,0.03339272,0.033943244,0.035488224,0.037793907,0.040767208
8/25/2025,0.044202878,0.044118631,0.043698404,0.043087928,0.042388057,0.040671641,0.039265279,0.037945737,0.034545271,0.033695305,0.034205446,0.035639062,0.037827705,0.040628058
