Date,ON,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y
2023-04-24,-0.008500003,0.03444966582772277,0.03435901088366337,0.03702571206336634,0.034921421392326735,0.03486061780544554,0.03880061967524753,0.03704746099207921,0.035704715628960396,0.03451074312450495,0.033382472156188114
2023-04-25,-0.008500003,0.03444966582772277,0.03436226388366336,0.03702571206336634,0.034921421392326735,0.03486118480544555,0.03880113967524752,0.03704746099207921,0.035688167628960404,0.034515823124504956,0.03338256415618812
2023-04-26,-0.008500003,0.03444966582772277,0.03436551688366336,0.03702571206336634,0.034921421392326735,0.03486175180544554,0.03880165967524753,0.03704746099207921,0.0356936826289604,0.034520904124504946,0.033382656156188115
2023-04-27,-0.008500003,0.03444312382772277,0.03436551688366336,0.03702571206336634,0.034921421392326735,0.03485455880544554,0.03877156767524753,0.037041399992079206,0.0356991986289604,0.034520904124504946,0.03338274815618812
2023-04-28,-0.008500018,0.03444639482772277,0.03436551688366336,0.03702571206336634,0.03491255239232673,0.03485900480544554,0.03877820467524752,0.03704746099207921,0.035704715628960396,0.034520904124504946,0.033382840156188115
2023-05-04,-0.008500003,0.03444312382772277,0.03436551688366336,0.03702178806336634,0.034908119392326735,0.034858496805445546,0.03880581867524753,0.037041399992079206,0.035704715628960396,0.034520904124504946,0.033383393156188115
2023-05-05,-0.008500009,0.03444639482772277,0.03436551688366336,0.03701394306336635,0.03491255239232673,0.034862956805445544,0.03880020567524753,0.03704746099207921,0.035704715628960396,0.034520904124504946,0.03338348515618812
2023-05-08,-0.008500003,0.03444639482772277,0.03435901088366337,0.03702178806336634,0.03491698639232673,0.03483726880544555,0.03880789867524753,0.03704746099207921,0.035704715628960396,0.03451074312450495,0.033383761156188116
2023-05-09,-0.008500003,0.03444639482772277,0.03436226388366336,0.03702178806336634,0.03491698639232673,0.03484174080544554,0.03880841867524752,0.03704746099207921,0.0356936826289604,0.034515823124504956,0.03338385315618812
2023-05-10,-0.008500003,0.03443985382772277,0.03436551688366336,0.03702178806336634,0.03491698639232673,0.034846213805445544,0.038808938675247526,0.037035339992079204,0.0356991986289604,0.034520904124504946,0.033383945156188116
2023-05-11,-0.008500003,0.03145556482772277,0.031389144883663365,0.03406096806336634,0.034908119392326735,0.03485068880544555,0.03879717367524753,0.037041399992079206,0.035704715628960396,0.034520904124504946,0.03338403715618812
2023-05-12,-0.008500009,0.03145844882772278,0.031389144883663365,0.034053964063366346,0.03491255239232673,0.03485516580544554,0.03880383467524752,0.03660968299207921,0.035704715628960396,0.034520904124504946,0.033384130156188116
2023-05-15,-0.008500003,0.03145844882772278,0.03138340688366337,0.03406096806336634,0.03418815839232673,0.03414972980544555,0.03881153867524753,0.03660968299207921,0.035704715628960396,0.03451074312450495,0.03338440615618812
2023-05-16,-0.008500003,0.03145844882772278,0.03138627588366336,0.03406096806336634,0.03418815839232673,0.034150287805445545,0.03881205867524752,0.03660968299207921,0.0356936826289604,0.034515823124504956,0.03338449815618812
