CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
,,,,,2040-03-30,Good Friday,,
,,,,,2040-03-31,Easter Saturday,,
,,,,,2040-04-02,Easter Monday,,
,,,,,2040-04-25,ANZAC Day,,
,,,,,2040-06-11,Queen's Birthday,,
,,,,,2040-08-06,Bank Holiday - NSW,,
,,,,,2040-10-01,Labour Day - NSW,,
,,,,,2040-12-25,Christmas Day,,
,,,,,2040-12-26,Boxing Day,,
,,,,,1982-12-28,Boxing Day OBS,,
,,,,,2041-01-01,New Year's Day,,
,,,,,2041-01-28,Australia Day OBS,,
,,,,,2041-04-19,Good Friday,,
,,,,,2041-04-20,Easter Saturday,,
,,,,,2041-04-22,Easter Monday,,
,,,,,2041-04-25,ANZAC Day,,
,,,,,2041-06-10,Queen's Birthday,,
,,,,,2041-08-05,Bank Holiday - NSW,,
,,,,,2041-10-07,Labour Day - NSW,,
,,,,,2041-12-25,Christmas Day,,
,,,,,1983-01-03,New Year's Day OBS,,
,,,,,2041-12-26,Boxing Day,,
,,,,,2042-01-01,New Year's Day,,
,,,,,2042-01-27,Australia Day OBS,,
,,,,,2042-04-04,Good Friday,,
,,,,,2042-04-05,Easter Saturday,,
,,,,,2042-04-07,Easter Monday,,
,,,,,2042-04-25,ANZAC Day,,
,,,,,2042-06-09,Queen's Birthday,,
,,,,,2042-08-04,Bank Holiday - NSW,,
,,,,,2042-10-06,Labour Day - NSW,,
,,,,,1983-01-26,Australia Day,,
,,,,,2042-12-25,Christmas Day,,
,,,,,2042-12-26,Boxing Day,,
,,,,,2043-01-01,New Year's Day,,
,,,,,2043-01-26,Australia Day,,
,,,,,2043-03-27,Good Friday,,
,,,,,2043-03-28,Easter Saturday,,
,,,,,2043-03-30,Easter Monday,,
,,,,,2043-04-25,ANZAC Day,,
,,,,,2043-06-08,Queen's Birthday,,
,,,,,2043-08-03,Bank Holiday - NSW,,
,,,,,1983-04-01,Good Friday,,
,,,,,2043-10-05,Labour Day - NSW,,
,,,,,2043-12-25,Christmas Day,,
,,,,,2043-12-28,Boxing Day OBS,,
,,,,,2044-01-01,New Year's Day,,
,,,,,2044-01-26,Australia Day,,
,,,,,2044-04-15,Good Friday,,
,,,,,2044-04-16,Easter Saturday,,
,,,,,2044-04-18,Easter Monday,,
,,,,,2044-04-25,ANZAC Day,,
,,,,,2044-06-13,Queen's Birthday,,
,,,,,1983-04-02,Easter Saturday,,
,,,,,2009-06-08,Queen's Birthday,,
,,,,,2044-08-01,Bank Holiday - NSW,,
,,,,,2044-10-03,Labour Day - NSW,,
,,,,,2044-12-26,Christmas Day OBS,,
,,,,,2044-12-27,Boxing Day OBS,,
,,,,,2018-01-02,,,
,,,,,2018-04-14,,,
,,,,,2018-04-17,,,
,,,,,2018-06-12,,,
,,,,,1983-04-04,Easter Monday,,
,,,,,1983-04-25,ANZAC Day,,
,,,,,1983-06-13,Queen's Birthday,,
,,,,,1983-08-01,Bank Holiday - NSW,,
,,,,,1983-10-03,Labour Day - NSW,,
,,,,,1983-12-26,Christmas Day OBS,,
,,,,,1983-12-27,Boxing Day OBS,,
,,,,,1984-01-02,New Year's Day OBS,,
,,,,,1984-01-26,Australia Day,,
,,,,,1984-04-20,Good Friday,,
,,,,,2009-08-03,Bank Holiday - NSW,,
,,,,,1984-04-21,Easter Saturday,,
,,,,,1984-04-23,Easter Monday,,
,,,,,1984-04-25,ANZAC Day,,
,,,,,1984-06-11,Queen's Birthday,,
,,,,,1984-08-06,Bank Holiday - NSW,,
,,,,,1984-10-01,Labour Day - NSW,,
,,,,,1984-12-25,Christmas Day,,
,,,,,1984-12-26,Boxing Day,,
,,,,,1985-01-01,New Year's Day,,
,,,,,1985-01-28,Australia Day OBS,,
,,,,,2009-10-05,Labour Day - NSW,,
,,,,,1985-04-05,Good Friday,,
,,,,,1985-04-06,Easter Saturday,,
,,,,,1985-04-08,Easter Monday,,
,,,,,1985-04-25,ANZAC Day,,
,,,,,1985-06-10,Queen's Birthday,,
,,,,,1985-08-05,Bank Holiday - NSW,,
,,,,,1985-10-07,Labour Day - NSW,,
,,,,,1985-12-25,Christmas Day,,
,,,,,1985-12-26,Boxing Day,,
,,,,,1986-01-01,New Year's Day,,
,,,,,2009-12-25,Christmas Day,,
,,,,,2022-05-11,,,
,,,,,2022-01-02,,,
,,,,,2022-01-08,,,
,,,,,2022-01-09,,,
,,,,,2022-01-15,,,
,,,,,2022-01-16,,,
,,,,,2022-01-22,,,
,,,,,2022-01-23,,,
,,,,,2022-01-29,,,
,,,,,2022-01-30,,,
,,,,,2022-02-05,,,
,,,,,2022-02-06,,,
,,,,,2022-02-12,,,
,,,,,2022-02-13,,,
,,,,,2022-02-19,,,
,,,,,2022-02-20,,,
,,,,,2022-02-26,,,
,,,,,2022-02-27,,,
,,,,,2022-03-05,,,
,,,,,2022-03-06,,,
,,,,,2022-03-12,,,
,,,,,2022-03-13,,,
,,,,,2022-03-19,,,
,,,,,2022-03-20,,,
,,,,,2022-03-26,,,
,,,,,2022-03-27,,,
,,,,,2022-04-02,,,
,,,,,2022-04-03,,,
,,,,,2022-04-09,,,
,,,,,2022-04-10,,,
,,,,,2022-04-17,,,
,,,,,2022-04-23,,,
,,,,,2022-04-24,,,
,,,,,2022-04-30,,,
,,,,,2022-05-01,,,
,,,,,2022-05-07,,,
,,,,,2022-05-08,,,
,,,,,2022-05-14,,,
,,,,,2022-05-15,,,
,,,,,2022-05-21,,,
,,,,,2022-05-22,,,
,,,,,2022-05-28,,,
,,,,,2022-05-29,,,
,,,,,2022-06-04,,,
,,,,,2022-06-05,,,
,,,,,2022-06-11,,,
,,,,,2022-06-12,,,
,,,,,2022-06-18,,,
,,,,,2022-06-19,,,
,,,,,2022-06-25,,,
,,,,,2022-06-26,,,
,,,,,2022-07-02,,,
,,,,,2022-07-03,,,
,,,,,2022-07-09,,,
,,,,,2022-07-10,,,
,,,,,2022-07-16,,,
,,,,,2022-07-17,,,
,,,,,2022-07-23,,,
,,,,,2022-07-24,,,
,,,,,2022-07-30,,,
,,,,,2022-07-31,,,
,,,,,2022-08-06,,,
,,,,,2022-08-07,,,
,,,,,2022-08-13,,,
,,,,,2022-08-14,,,
,,,,,2022-08-20,,,
,,,,,2022-08-21,,,
,,,,,2022-08-27,,,
,,,,,2022-08-28,,,
,,,,,2022-09-03,,,
,,,,,2022-09-04,,,
,,,,,2022-09-10,,,
,,,,,2022-09-11,,,
,,,,,2022-09-17,,,
,,,,,2022-09-18,,,
,,,,,2022-09-24,,,
,,,,,2022-09-25,,,
,,,,,2022-10-01,,,
,,,,,2022-10-02,,,
,,,,,2022-10-08,,,
,,,,,2022-10-09,,,
,,,,,2022-10-15,,,
,,,,,2022-10-16,,,
,,,,,2022-10-22,,,
,,,,,2022-10-23,,,
,,,,,2022-10-29,,,
,,,,,2022-10-30,,,
,,,,,2022-11-05,,,
,,,,,2022-11-06,,,
,,,,,2022-11-12,,,
,,,,,2022-11-13,,,
,,,,,2022-11-19,,,
,,,,,2022-11-20,,,
,,,,,2022-11-26,,,
,,,,,2022-11-27,,,
,,,,,2022-12-03,,,
,,,,,2022-12-04,,,
,,,,,2022-12-10,,,
,,,,,2022-12-11,,,
,,,,,2022-12-17,,,
,,,,,2022-12-18,,,
,,,,,2022-12-24,,,
,,,,,2022-12-25,,,
,,,,,2022-12-31,,,
,,,,,2022-01-01,,,
,,,,,2022-01-04,,,
,,,,,2022-02-07,,,
,,,,,2022-04-14,,,
,,,,,2022-06-06,,,
,,,,,2022-06-24,,,
,,,,,2022-09-22,,,
CATO,Canada,Canada,2,192,2009-01-01,New Year's Day,,
,,,,,1987-01-01,New Year's Day,,
,,,,,1987-04-17,Good Friday,,
,,,,,1987-05-18,Victoria/Patriots' Day,,
,,,,,1987-07-01,Canada Day,,
,,,,,1987-08-03,Civic Holiday,,
,,,,,1987-09-07,Labour Day,,
,,,,,1987-10-12,Thanksgiving,,
,,,,,1987-11-11,Remembrance Day,,
,,,,,1987-12-25,Christmas,,
,,,,,1987-12-28,Boxing Day OBS,,
,,,,,2010-01-01,New Year's Day,,
,,,,,1988-01-01,New Year's Day,,
,,,,,1988-04-01,Good Friday,,
,,,,,1988-05-23,Victoria/Patriots' Day,,
,,,,,1988-07-01,Canada Day,,
,,,,,1988-08-01,Civic Holiday,,
,,,,,1988-09-05,Labour Day,,
,,,,,1988-10-10,Thanksgiving,,
,,,,,1988-11-11,Remembrance Day,,
,,,,,1988-12-26,Christmas OBS,,
,,,,,1988-12-27,Boxing Day OBS,,
,,,,,2010-04-02,Good Friday,,
,,,,,1989-01-02,New Year's Day OBS,,
,,,,,1989-03-24,Good Friday,,
,,,,,1989-05-22,Victoria/Patriots' Day,,
,,,,,1989-07-03,Canada Day OBS,,
,,,,,1989-08-07,Civic Holiday,,
,,,,,1989-09-04,Labour Day,,
,,,,,1989-10-09,Thanksgiving,,
,,,,,1989-11-13,Remembrance Day OBS,,
,,,,,1989-12-25,Christmas,,
,,,,,1989-12-26,Boxing Day,,
,,,,,2010-05-24,Victoria/Patriots' Day,,
,,,,,1990-01-01,New Year's Day,,
,,,,,1990-04-13,Good Friday,,
,,,,,1990-05-21,Victoria/Patriots' Day,,
,,,,,1990-07-02,Canada Day OBS,,
,,,,,1990-08-06,Civic Holiday,,
,,,,,1990-09-03,Labour Day,,
,,,,,1990-10-08,Thanksgiving,,
,,,,,1990-11-12,Remembrance Day OBS,,
,,,,,1990-12-25,Christmas,,
,,,,,1990-12-26,Boxing Day,,
,,,,,2010-07-01,Canada Day,,
,,,,,1991-01-01,New Year's Day,,
,,,,,1991-03-29,Good Friday,,
,,,,,1991-05-20,Victoria/Patriots' Day,,
,,,,,1991-07-01,Canada Day,,
,,,,,1991-08-05,Civic Holiday,,
,,,,,1991-09-02,Labour Day,,
,,,,,1991-10-14,Thanksgiving,,
,,,,,1991-11-11,Remembrance Day,,
,,,,,1991-12-25,Christmas,,
,,,,,1991-12-26,Boxing Day,,
,,,,,2010-08-02,Civic Holiday,,
,,,,,1992-01-01,New Year's Day,,
,,,,,1992-04-17,Good Friday,,
,,,,,1992-05-18,Victoria/Patriots' Day,,
,,,,,1992-07-01,Canada Day,,
,,,,,1992-08-03,Civic Holiday,,
,,,,,1992-09-07,Labour Day,,
,,,,,1992-10-12,Thanksgiving,,
,,,,,1992-11-11,Remembrance Day,,
,,,,,1992-12-25,Christmas,,
,,,,,1992-12-28,Boxing Day OBS,,
,,,,,2010-09-06,Labour Day,,
,,,,,1993-01-01,New Year's Day,,
,,,,,1993-04-09,Good Friday,,
,,,,,1993-05-24,Victoria/Patriots' Day,,
,,,,,1993-07-01,Canada Day,,
,,,,,1993-08-02,Civic Holiday,,
,,,,,1993-09-06,Labour Day,,
,,,,,1993-10-11,Thanksgiving,,
,,,,,1993-11-11,Remembrance Day,,
,,,,,1993-12-27,Christmas OBS,,
,,,,,1993-12-28,Boxing Day OBS,,
,,,,,2010-10-11,Thanksgiving,,
,,,,,1994-01-03,New Year's Day OBS,,
,,,,,1994-04-01,Good Friday,,
,,,,,1994-05-23,Victoria/Patriots' Day,,
,,,,,1994-07-01,Canada Day,,
,,,,,1994-08-01,Civic Holiday,,
,,,,,1994-09-05,Labour Day,,
,,,,,1994-10-10,Thanksgiving,,
,,,,,1994-11-11,Remembrance Day,,
,,,,,1994-12-26,Christmas OBS,,
,,,,,1994-12-27,Boxing Day OBS,,
,,,,,2010-11-11,Remembrance Day,,
,,,,,1995-01-02,New Year's Day OBS,,
,,,,,1995-04-14,Good Friday,,
,,,,,1995-05-22,Victoria/Patriots' Day,,
,,,,,1995-07-03,Canada Day OBS,,
,,,,,1995-08-07,Civic Holiday,,
,,,,,1995-09-04,Labour Day,,
,,,,,1995-10-09,Thanksgiving,,
,,,,,1995-11-13,Remembrance Day OBS,,
,,,,,1995-12-25,Christmas,,
,,,,,1995-12-26,Boxing Day,,
,,,,,2010-12-27,Christmas OBS,,
,,,,,1996-01-01,New Year's Day,,
,,,,,1996-04-05,Good Friday,,
,,,,,1996-05-20,Victoria/Patriots' Day,,
,,,,,1996-07-01,Canada Day,,
,,,,,1996-08-05,Civic Holiday,,
,,,,,1996-09-02,Labour Day,,
,,,,,1996-10-14,Thanksgiving,,
,,,,,1996-11-11,Remembrance Day,,
,,,,,1996-12-25,Christmas,,
,,,,,1996-12-26,Boxing Day,,
,,,,,2010-12-28,Boxing Day OBS,,
,,,,,2009-04-10,Good Friday,,
,,,,,1997-01-01,New Year's Day,,
,,,,,1997-03-28,Good Friday,,
,,,,,1997-05-19,Victoria/Patriots' Day,,
,,,,,1997-07-01,Canada Day,,
,,,,,1997-08-04,Civic Holiday,,
,,,,,1997-09-01,Labour Day,,
,,,,,1997-10-13,Thanksgiving,,
,,,,,1997-11-11,Remembrance Day,,
,,,,,1997-12-25,Christmas,,
,,,,,1997-12-26,Boxing Day,,
,,,,,2011-01-03,New Year's Day OBS,,
,,,,,1998-01-01,New Year's Day,,
,,,,,1998-04-10,Good Friday,,
,,,,,1998-05-18,Victoria/Patriots' Day,,
,,,,,1998-07-01,Canada Day,,
,,,,,1998-08-03,Civic Holiday,,
,,,,,1998-09-07,Labour Day,,
,,,,,1998-10-12,Thanksgiving,,
,,,,,1998-11-11,Remembrance Day,,
,,,,,1998-12-25,Christmas,,
,,,,,1998-12-28,Boxing Day OBS,,
,,,,,2011-04-22,Good Friday,,
,,,,,1999-01-01,New Year's Day,,
,,,,,1999-04-02,Good Friday,,
,,,,,1999-05-24,Victoria/Patriots' Day,,
,,,,,1999-07-01,Canada Day,,
,,,,,1999-08-02,Civic Holiday,,
,,,,,1999-09-06,Labour Day,,
,,,,,1999-10-11,Thanksgiving,,
,,,,,1999-11-11,Remembrance Day,,
,,,,,1999-12-27,Christmas OBS,,
,,,,,1999-12-28,Boxing Day OBS,,
,,,,,2011-05-23,Victoria/Patriots' Day,,
,,,,,2000-01-03,New Year's Day OBS,,
,,,,,2000-04-21,Good Friday,,
,,,,,2000-05-22,Victoria/Patriots' Day,,
,,,,,2000-07-03,Canada Day OBS,,
,,,,,2000-08-07,Civic Holiday,,
,,,,,2000-09-04,Labour Day,,
,,,,,2000-10-09,Thanksgiving,,
,,,,,2000-11-13,Remembrance Day OBS,,
,,,,,2000-12-25,Christmas,,
,,,,,2000-12-26,Boxing Day,,
,,,,,2011-07-01,Canada Day,,
,,,,,2001-01-01,New Year's Day,,
,,,,,2001-04-13,Good Friday,,
,,,,,2001-05-21,Victoria/Patriots' Day,,
,,,,,2001-07-02,Canada Day OBS,,
,,,,,2001-08-06,Civic Holiday,,
,,,,,2001-09-03,Labour Day,,
,,,,,2001-10-08,Thanksgiving,,
,,,,,2001-11-12,Remembrance Day OBS,,
,,,,,2001-12-25,Christmas,,
,,,,,2001-12-26,Boxing Day,,
,,,,,2011-08-01,Civic Holiday,,
,,,,,2002-01-01,New Year's Day,,
,,,,,2002-03-29,Good Friday,,
,,,,,2002-05-20,Victoria/Patriots' Day,,
,,,,,2002-07-01,Canada Day,,
,,,,,2002-08-05,Civic Holiday,,
,,,,,2002-09-02,Labour Day,,
,,,,,2002-10-14,Thanksgiving,,
,,,,,2002-11-11,Remembrance Day,,
,,,,,2002-12-25,Christmas,,
,,,,,2002-12-26,Boxing Day,,
,,,,,2011-09-05,Labour Day,,
,,,,,2003-01-01,New Year's Day,,
,,,,,2003-04-18,Good Friday,,
,,,,,2003-05-19,Victoria/Patriots' Day,,
,,,,,2003-07-01,Canada Day,,
,,,,,2003-08-04,Civic Holiday,,
,,,,,2003-09-01,Labour Day,,
,,,,,2003-10-13,Thanksgiving,,
,,,,,2003-11-11,Remembrance Day,,
,,,,,2003-12-25,Christmas,,
,,,,,2003-12-26,Boxing Day,,
,,,,,2011-10-10,Thanksgiving,,
,,,,,2004-01-01,New Year's Day,,
,,,,,2004-04-09,Good Friday,,
,,,,,2004-05-24,Victoria/Patriots' Day,,
,,,,,2004-07-01,Canada Day,,
,,,,,2004-08-02,Civic Holiday,,
,,,,,2004-09-06,Labour Day,,
,,,,,2004-10-11,Thanksgiving,,
,,,,,2004-11-11,Remembrance Day,,
,,,,,2004-12-27,Christmas OBS,,
,,,,,2004-12-28,Boxing Day OBS,,
,,,,,2011-11-11,Remembrance Day,,
,,,,,2005-01-03,New Year's Day OBS,,
,,,,,2005-03-25,Good Friday,,
,,,,,2005-05-23,Victoria/Patriots' Day,,
,,,,,2005-07-01,Canada Day,,
,,,,,2005-08-01,Civic Holiday,,
,,,,,2005-09-05,Labour Day,,
,,,,,2005-10-10,Thanksgiving,,
,,,,,2005-11-11,Remembrance Day,,
,,,,,2005-12-26,Christmas OBS,,
,,,,,2005-12-27,Boxing Day OBS,,
,,,,,2011-12-26,Christmas OBS,,
,,,,,2006-01-02,New Year's Day OBS,,
,,,,,2006-04-14,Good Friday,,
,,,,,2006-05-22,Victoria/Patriots' Day,,
,,,,,2006-07-03,Canada Day OBS,,
,,,,,2006-08-07,Civic Holiday,,
,,,,,2006-09-04,Labour Day,,
,,,,,2006-10-09,Thanksgiving,,
,,,,,2006-11-13,Remembrance Day OBS,,
,,,,,2006-12-25,Christmas,,
,,,,,2006-12-26,Boxing Day,,
,,,,,2011-12-27,Boxing Day OBS,,
,,,,,2009-05-18,Victoria/Patriots' Day,,
,,,,,2007-01-01,New Year's Day,,
,,,,,2007-04-06,Good Friday,,
,,,,,2007-05-21,Victoria/Patriots' Day,,
,,,,,2007-07-02,Canada Day OBS,,
,,,,,2007-08-06,Civic Holiday,,
,,,,,2007-09-03,Labour Day,,
,,,,,2007-10-08,Thanksgiving,,
,,,,,2007-11-12,Remembrance Day OBS,,
,,,,,2007-12-25,Christmas,,
,,,,,2007-12-26,Boxing Day,,
,,,,,2012-01-02,New Year's Day OBS,,
,,,,,2008-01-01,New Year's Day,,
,,,,,2008-02-18,Family Day,,
,,,,,2008-03-21,Good Friday,,
,,,,,2008-05-19,Victoria/Patriots' Day,,
,,,,,2008-07-01,Canada Day,,
,,,,,2008-08-04,Civic Holiday,,
,,,,,2008-09-01,Labour Day,,
,,,,,2008-10-13,Thanksgiving,,
,,,,,2008-11-11,Remembrance Day,,
,,,,,2008-12-25,Christmas,,
,,,,,2012-04-06,Good Friday,,
,,,,,2008-12-26,Boxing Day,,
,,,,,2009-02-16,Family Day,,
,,,,,2010-02-15,Family Day,,
,,,,,2011-02-21,Family Day,,
,,,,,2012-02-20,Family Day,,
,,,,,2013-01-01,New Year's Day,,
,,,,,2013-02-18,Family Day,,
,,,,,2013-03-29,Good Friday,,
,,,,,2013-05-20,Victoria/Patriots' Day,,
,,,,,2013-07-01,Canada Day,,
,,,,,2012-05-21,Victoria/Patriots' Day,,
,,,,,2013-08-05,Civic Holiday,,
,,,,,2013-09-02,Labour Day,,
,,,,,2013-10-14,Thanksgiving,,
,,,,,2013-11-11,Remembrance Day,,
,,,,,2013-12-25,Christmas,,
,,,,,2013-12-26,Boxing Day,,
,,,,,2014-01-01,New Year's Day,,
,,,,,2014-02-17,Family Day,,
,,,,,2014-04-18,Good Friday,,
,,,,,2014-05-19,Victoria/Patriots' Day,,
,,,,,2012-07-02,Canada Day OBS,,
,,,,,2014-07-01,Canada Day,,
,,,,,2014-08-04,Civic Holiday,,
,,,,,2014-09-01,Labour Day,,
,,,,,2014-10-13,Thanksgiving,,
,,,,,2014-11-11,Remembrance Day,,
,,,,,2014-12-25,Christmas,,
,,,,,2014-12-26,Boxing Day,,
,,,,,2015-01-01,New Year's Day,,
,,,,,2015-02-16,Family Day,,
,,,,,2015-04-03,Good Friday,,
,,,,,2012-08-06,Civic Holiday,,
,,,,,2015-05-18,Victoria/Patriots' Day,,
,,,,,2015-07-01,Canada Day,,
,,,,,2015-08-03,Civic Holiday,,
,,,,,2015-09-07,Labour Day,,
,,,,,2015-10-12,Thanksgiving,,
,,,,,2015-11-11,Remembrance Day,,
,,,,,2015-12-25,Christmas,,
,,,,,2015-12-28,Boxing Day OBS,,
,,,,,2016-01-01,New Year's Day,,
,,,,,2016-02-15,Family Day,,
,,,,,2012-09-03,Labour Day,,
,,,,,2016-03-25,Good Friday,,
,,,,,2016-05-23,Victoria/Patriots' Day,,
,,,,,2016-07-01,Canada Day,,
,,,,,2016-08-01,Civic Holiday,,
,,,,,2016-09-05,Labour Day,,
,,,,,2016-10-10,Thanksgiving,,
,,,,,2016-11-11,Remembrance Day,,
,,,,,2016-12-26,Christmas OBS,,
,,,,,2016-12-27,Boxing Day OBS,,
,,,,,2017-01-02,New Year's Day OBS,,
,,,,,2012-10-08,Thanksgiving,,
,,,,,2017-02-20,Family Day,,
,,,,,2017-04-14,Good Friday,,
,,,,,2017-05-22,Victoria/Patriots' Day,,
,,,,,2017-07-03,Canada Day OBS,,
,,,,,2017-08-07,Civic Holiday,,
,,,,,2017-09-04,Labour Day,,
,,,,,2017-10-09,Thanksgiving,,
,,,,,2017-11-13,Remembrance Day OBS,,
,,,,,2017-12-25,Christmas,,
,,,,,2017-12-26,Boxing Day,,
,,,,,2012-11-12,Remembrance Day OBS,,
,,,,,2018-01-01,New Year's Day,,
,,,,,2018-02-19,Family Day,,
,,,,,2018-03-30,Good Friday,,
,,,,,2018-05-21,Victoria/Patriots' Day,,
,,,,,2018-07-02,Canada Day OBS,,
,,,,,2018-08-06,Civic Holiday,,
,,,,,2018-09-03,Labour Day,,
,,,,,2018-10-08,Thanksgiving,,
,,,,,2018-11-12,Remembrance Day OBS,,
,,,,,2018-12-25,Christmas,,
,,,,,2012-12-25,Christmas,,
,,,,,2018-12-26,Boxing Day,,
,,,,,2019-01-01,New Year's Day,,
,,,,,2019-02-18,Family Day,,
,,,,,2019-04-19,Good Friday,,
,,,,,2019-05-20,Victoria/Patriots' Day,,
,,,,,2019-07-01,Canada Day,,
,,,,,2019-08-05,Civic Holiday,,
,,,,,2019-09-02,Labour Day,,
,,,,,2019-10-14,Thanksgiving,,
,,,,,2019-11-11,Remembrance Day,,
,,,,,2012-12-26,Boxing Day,,
,,,,,2009-07-01,Canada Day,,
,,,,,2019-12-25,Christmas,,
,,,,,2019-12-26,Boxing Day,,
,,,,,2020-01-01,New Year's Day,,
,,,,,2020-02-17,Family Day,,
,,,,,2020-04-10,Good Friday,,
,,,,,2020-05-18,Victoria/Patriots' Day,,
,,,,,2020-07-01,Canada Day,,
,,,,,2020-08-03,Civic Holiday,,
,,,,,2020-09-07,Labour Day,,
,,,,,2020-10-12,Thanksgiving,,
,,,,,1981-01-01,New Year's Day,,
,,,,,2020-11-11,Remembrance Day,,
,,,,,2020-12-25,Christmas,,
,,,,,2020-12-28,Boxing Day OBS,,
,,,,,2021-01-01,New Year's Day,,
,,,,,2021-02-15,Family Day,,
,,,,,2021-04-02,Good Friday,,
,,,,,2021-05-24,Victoria/Patriots' Day,,
,,,,,2021-07-01,Canada Day,,
,,,,,2021-08-02,Civic Holiday,,
,,,,,2021-09-06,Labour Day,,
,,,,,1981-04-17,Good Friday,,
,,,,,2021-10-11,Thanksgiving,,
,,,,,2021-11-11,Remembrance Day,,
,,,,,2021-12-27,Christmas OBS,,
,,,,,2021-12-28,Boxing Day OBS,,
,,,,,2022-01-03,New Year's Day OBS,,
,,,,,2022-02-21,Family Day,,
,,,,,2022-04-15,Good Friday,,
,,,,,2022-05-23,Victoria/Patriots' Day,,
,,,,,2022-07-01,Canada Day,,
,,,,,2022-08-01,Civic Holiday,,
,,,,,1981-05-18,Victoria/Patriots' Day,,
,,,,,2022-09-05,Labour Day,,
,,,,,2022-10-10,Thanksgiving,,
,,,,,2022-11-11,Remembrance Day,,
,,,,,2022-12-26,Christmas OBS,,
,,,,,2022-12-27,Boxing Day OBS,,
,,,,,2023-01-02,New Year's Day OBS,,
,,,,,2023-02-20,Family Day,,
,,,,,2023-04-07,Good Friday,,
,,,,,2023-05-22,Victoria/Patriots' Day,,
,,,,,2023-07-03,Canada Day OBS,,
,,,,,1981-07-01,Canada Day,,
,,,,,2023-08-07,Civic Holiday,,
,,,,,2023-09-04,Labour Day,,
,,,,,2023-10-09,Thanksgiving,,
,,,,,2023-11-13,Remembrance Day OBS,,
,,,,,2023-12-25,Christmas,,
,,,,,2023-12-26,Boxing Day,,
,,,,,2024-01-01,New Year's Day,,
,,,,,2024-02-19,Family Day,,
,,,,,2024-03-29,Good Friday,,
,,,,,2024-05-20,Victoria/Patriots' Day,,
,,,,,1981-08-03,Civic Holiday,,
,,,,,2024-07-01,Canada Day,,
,,,,,2024-08-05,Civic Holiday,,
,,,,,2024-09-02,Labour Day,,
,,,,,2024-10-14,Thanksgiving,,
,,,,,2024-11-11,Remembrance Day,,
,,,,,2024-12-25,Christmas,,
,,,,,2024-12-26,Boxing Day,,
,,,,,2025-01-01,New Year's Day,,
,,,,,2025-02-17,Family Day,,
,,,,,2025-04-18,Good Friday,,
,,,,,1981-09-07,Labour Day,,
,,,,,2025-05-19,Victoria/Patriots' Day,,
,,,,,2025-07-01,Canada Day,,
,,,,,2025-08-04,Civic Holiday,,
,,,,,2025-09-01,Labour Day,,
,,,,,2025-10-13,Thanksgiving,,
,,,,,2025-11-11,Remembrance Day,,
,,,,,2025-12-25,Christmas,,
,,,,,2025-12-26,Boxing Day,,
,,,,,2026-01-01,New Year's Day,,
,,,,,2026-02-16,Family Day,,
,,,,,1981-10-12,Thanksgiving,,
,,,,,2026-04-03,Good Friday,,
,,,,,2026-05-18,Victoria/Patriots' Day,,
,,,,,2026-07-01,Canada Day,,
,,,,,2026-08-03,Civic Holiday,,
,,,,,2026-09-07,Labour Day,,
,,,,,2026-10-12,Thanksgiving,,
,,,,,2026-11-11,Remembrance Day,,
,,,,,2026-12-25,Christmas,,
,,,,,2026-12-28,Boxing Day OBS,,
,,,,,2027-01-01,New Year's Day,,
,,,,,1981-11-11,Remembrance Day,,
,,,,,2027-02-15,Family Day,,
,,,,,2027-03-26,Good Friday,,
,,,,,2027-05-24,Victoria/Patriots' Day,,
,,,,,2027-07-01,Canada Day,,
,,,,,2027-08-02,Civic Holiday,,
,,,,,2027-09-06,Labour Day,,
,,,,,2027-10-11,Thanksgiving,,
,,,,,2027-11-11,Remembrance Day,,
,,,,,2027-12-27,Christmas OBS,,
,,,,,2027-12-28,Boxing Day OBS,,
,,,,,1981-12-25,Christmas,,
,,,,,2028-01-03,New Year's Day OBS,,
,,,,,2028-02-21,Family Day,,
,,,,,2028-04-14,Good Friday,,
,,,,,2028-05-22,Victoria/Patriots' Day,,
,,,,,2028-07-03,Canada Day OBS,,
,,,,,2028-08-07,Civic Holiday,,
,,,,,2028-09-04,Labour Day,,
,,,,,2028-10-09,Thanksgiving,,
,,,,,2028-11-13,Remembrance Day OBS,,
,,,,,2028-12-25,Christmas,,
,,,,,1981-12-28,Boxing Day OBS,,
,,,,,2009-08-03,Civic Holiday,,
,,,,,2028-12-26,Boxing Day,,
,,,,,2029-01-01,New Year's Day,,
,,,,,2029-02-19,Family Day,,
,,,,,2029-03-30,Good Friday,,
,,,,,2029-05-21,Victoria/Patriots' Day,,
,,,,,2029-07-02,Canada Day OBS,,
,,,,,2029-08-06,Civic Holiday,,
,,,,,2029-09-03,Labour Day,,
,,,,,2029-10-08,Thanksgiving,,
,,,,,2029-11-12,Remembrance Day OBS,,
,,,,,1982-01-01,New Year's Day,,
,,,,,2029-12-25,Christmas,,
,,,,,2029-12-26,Boxing Day,,
,,,,,2030-01-01,New Year's Day,,
,,,,,2030-02-18,Family Day,,
,,,,,2030-04-19,Good Friday,,
,,,,,2030-05-20,Victoria/Patriots' Day,,
,,,,,2030-07-01,Canada Day,,
,,,,,2030-08-05,Civic Holiday,,
