bond_id,face,issue_date,maturity_date,call_exercise_dates,put_exercise_dates,call_strike,put_strike,coupon_accrual,annual_coupon_rate,coupon_change_date,ref_curve,ref_tenor,margin_date,margin,floor,cap,coupon_type_change_date,style,group,is_tier2
VIBL2431010,100,12/18/2024,12/18/2031,12/18/2026,,100,,1,,,SOB4,12M,12/18/2029,0.028;0.038,,,,European,LB_G2,1
BID12513,100,5/29/2025,5/29/2033,5/29/2028,,100,,0.5,,,SOB4,12M,5/29/2030,0.0115;0.0282,,,,European,LB_G1,1
HDBC8Y253302,100,8/20/2025,8/20/2033,8/20/2028,,100,,1,,,SOB4,12M,,0.02,,,,European,LB_G3,1
CTG12502,100,4/28/2025,4/28/2033,4/18/2028,,100,,1,,,SOB4,12M,4/28/2030,0.012; 0.0287,,,,European,LB_G1,1
CTG12506,100,6/20/2025,6/20/2033,6/20/2028,,100,,1,,,SOB4,12M,6/20/2030,0.0115;0.0282,,,,European,LB_G1,1
BIDL2230011,100,6/23/2022,6/23/2030,6/23/2025,,100,,1,,,SOB4,12M,6/23/2027,0.009;0.0257,,,,European,LB_G1,1
VIB_BOND_L1_2017_003,100,12/14/2017,12/14/2024,12/16/2019;12/14/2020;12/14/2021;12/14/2022;12/14/2023 ,,100;100;100;100;100,,1,,,SOB4,12M,,0.012,,,,Bermudan,LB_G2,1
VIB_BOND_L1_2017_002,100,12/13/2017,12/13/2024,12/13/2019;12/13/2020;12/13/2021;12/13/2022;12/13/2023,,100;100;100;100;100,,1,,,SOB4,12M,,0.012,,,,Bermudan,LB_G2,1
TPBL12608,100,8/24/2026,8/24/2029,8/24/2027;8/24/2028,8/24/2027;8/24/2028,100;100,100;100,1,0.091,,,,,,,,,Bermudan,LB_G2,0
VIBL12605,100,9/16/2026,9/16/2029,9/16/2027;9/16/2028,9/16/2027;9/16/2028,100;100,100;100,1,0.089,,,,,,,,,Bermudan,LB_G2,0
VIBL12604,100,8/21/2026,8/21/2029,8/21/2027;8/21/2028,8/21/2027;8/21/2028,100;100,100;100,1,0.09,,,,,,,,,Bermudan,LB_G2,0
VPB12517,100,12/24/2025,12/24/2027,12/24/2026,12/24/2026,100,100,1,0.076,,,,,,,,,European,LB_G2,0
VPB12504,100,5/21/2025,5/21/2028,5/21/2027,5/21/2027,100,100,1,0.054,,,,,,,,,European,LB_G2,0
VIBL2427009,100,12/13/2024,12/13/2027,12/13/2025;12/13/2026,12/13/2025;12/13/2026,100;100,100;100,1,0.053,,,,,,,,,Bermudan,LB_G2,0
TCB12501,100,4/21/2025,4/21/2028,4/21/2026;4/21/2027,4/21/2026;4/21/2027,100;100,100;100,1,0.052,,,,,,,,,Bermudan,LB_G2,0
HDBL2427028,100,12/24/2024,12/24/2027,12/24/2026,12/24/2026,100,100,1,0.057,,,,,,,,,European,LB_G3,0
VIB12503,100,9/15/2025,9/15/2028,9/15/2026;9/15/2027,9/15/2026;9/15/2027,100;100,100;100,1,0.056,,,,,,,,,Bermudan,LB_G2,0
VPB12509,100,6/30/2025,6/30/2028,6/30/2027,6/30/2027,100,100,1,0.054,,,,,,,,,European,LB_G2,0
TCBL2427008,100,6/28/2024,6/28/2027,6/28/2025;6/28/2026,6/28/2025;6/28/2026,100;100,100;100,1,0.053,,,,,,,,,Bermudan,LB_G2,0
TPBL2427005,100,6/28/2024,6/28/2027,6/28/2025;6/28/2026,6/28/2025;6/28/2026,100;100,100;100,1,0.052,,,,,,,,,Bermudan,LB_G2,0
VIBL2427005,100,9/27/2024,9/27/2027,9/27/2025;9/27/2026,9/27/2025;9/27/2026,100;100,100;100,1,0.051,,,,,,,,,Bermudan,LB_G2,0
TCB12409,100,6/28/2024,6/28/2027,6/28/2025;6/28/2026,6/28/2025;6/28/2026,100;100,100;100,1,0.054,,,,,,,,,Bermudan,LB_G2,0
SIN12406,100,6/13/2024,6/13/2026,6/13/2025,6/13/2025,100,100,1,0.051,,,,,,,,,European,FB,0
MSB12404,100,6/5/2024,6/5/2027,6/5/2025,6/5/2025,100,100,1,0.053,,,,,,,,,European,LB_G3,0
MSBL2427002,100,4/22/2024,4/22/2027,4/22/2025,4/22/2025,100,100,1,0.039,,,,,,,,,European,LB_G3,0
VIBL2226001,100,2/28/2022,2/28/2026,2/28/2025,2/28/2025,100,100,1,0.039,,,,,,,,,European,LB_G2,0
OCBL2326015,100,12/14/2023,12/14/2026,1/14/2025,1/14/2025,100,100,1,0.051,,,,,,,,,European,LB_G3,0
TPBL2125019,100,11/29/2021,11/29/2025,11/29/2024,11/29/2024,100,100,1,0.038,,,,,,,,,European,LB_G2,0
HDBL2125015,100,12/17/2021,12/17/2025,12/17/2024,12/17/2024,100,100,1,0.038,,,,,,,,,European,LB_G3,0
HDBL2125010,100,12/9/2021,12/9/2025,12/9/2024,12/9/2024,100,100,1,0.038,,,,,,,,,European,LB_G3,0
TPBL2326014,100,11/30/2023,11/30/2026,11/30/2024;11/30/2025,11/30/2024;11/30/2025,100;100,100;100,1,0.057,,,,,,,,,Bermudan,LB_G2,0
OCBL2326014,100,11/27/2023,11/27/2026,11/27/2024,11/27/2024,100,100,1,0.06,,,,,,,,,European,LB_G3,0
OCBL2326012,100,11/15/2023,11/15/2026,11/15/2024,11/15/2024,100,100,1,0.06,,,,,,,,,European,LB_G3,0
VIBL2125018,100,11/4/2021,11/4/2025,11/4/2024,11/4/2024,100,100,1,0.038,,,,,,,,,European,LB_G2,0
VIBL2125019,100,11/8/2021,11/8/2025,11/8/2024,11/8/2024,100,100,1,0.038,,,,,,,,,European,LB_G2,0
VIBL2125016,100,10/27/2021,10/27/2025,10/27/2024,10/27/2024,100,100,1,0.038,,,,,,,,,European,LB_G2,0
VIBL2125014,100,8/26/2021,8/26/2025,8/26/2024,8/26/2024,100,100,1,0.038,,,,,,,,,European,LB_G2,0
TCBL2326005,100,7/31/2023,7/31/2026,7/31/2024;7/31/2025,7/31/2024;7/31/2025,100;100,100;100,1,0.06,,,,,,,,,Bermudan,LB_G2,0
TCBL2225006,100,6/15/2022,6/15/2025,6/15/2024,6/15/2024,100,100,1,0.043,,,,,,,,,European,LB_G2,0
TCBL2225005,100,6/14/2022,6/14/2025,6/14/2024,6/14/2024,100,100,1,0.043,,,,,,,,,European,LB_G2,0
HDBL2225003,100,5/31/2022,5/31/2025,5/31/2024,5/31/2024,100,100,1,0.042,,,,,,,,,European,LB_G3,0
HDBL2225002,100,5/30/2022,5/30/2025,5/30/2024,5/30/2024,100,100,1,0.042,,,,,,,,,European,LB_G3,0
TPBL2225008,100,5/26/2022,5/26/2025,5/26/2024,5/26/2024,100,100,1,0.043,,,,,,,,,European,LB_G2,0
TPBL2225006,100,5/25/2022,5/25/2025,5/25/2024,5/25/2024,100,100,1,0.043,,,,,,,,,European,LB_G2,0
MSBL2225002,100,5/17/2022,5/17/2025,5/17/2024,5/17/2024,100,100,1,0.043,,,,,,,,,European,LB_G3,0
VIBL2225003,100,3/31/2022,3/31/2025,3/31/2024,3/31/2024,100,100,1,0.039,,,,,,,,,European,LB_G2,0
LPBH2124016,100,12/21/2021,12/21/2024,12/21/2023,12/21/2023,100,100,1,0.033,,,,,,,,,European,LB_G2,0
LPBH2124015,100,12/15/2021,12/15/2024,12/15/2023,12/15/2023,100,100,1,0.033,,,,,,,,,European,LB_G2,0
LPBH2124014,100,12/13/2021,12/13/2024,12/13/2023,12/13/2023,100,100,1,0.033,,,,,,,,,European,LB_G2,0
HDBL2225012,100,8/30/2022,8/30/2025,8/30/2023;8/30/2024,8/30/2023;8/30/2024,100;100,100;100,1,0.057,,,,,,,,,Bermudan,LB_G3,0
OCBL2225011,100,8/26/2022,8/26/2025,8/26/2023,8/26/2023,100,100,1,0.056,,,,,,,,,European,LB_G3,0
MSBL2124005,100,8/11/2021,8/11/2024,8/11/2023,8/11/2023,100,100,1,0.037,,,,,,,,,European,LB_G3,0
LPBH2225007,100,7/26/2022,7/26/2025,7/26/2023;7/26/2024,7/26/2023;7/26/2024,100;100,100;100,1,0.048,,,,,,,,,Bermudan,LB_G2,0
OCBL2225009,100,7/21/2022,7/21/2025,7/21/2023,7/21/2023,100,100,1,0.045,,,,,,,,,European,LB_G3,0
TPBL2225009,100,7/21/2022,7/21/2025,7/21/2023,7/21/2023,100,100,1,0.047,,,,,,,,,European,LB_G2,0
LPBH2124011,100,7/19/2021,7/19/2024,7/19/2023,7/19/2023,100,100,1,0.039,,,,,,,,,European,LB_G2,0
LPBH2124009,100,7/14/2021,7/14/2024,7/14/2023,7/14/2023,100,100,1,0.039,,,,,,,,,European,LB_G2,0
